Date,02T,03T,05T,10T,11T,12T,59T,61T,50T,52T,53T,54T,08T,13T,14T,16T,17T,18T,19T,20T,21T,22T,24T,25T,26T,27T,28T,29T,30T,31T,32T,33T,34T,35T,36T,37T,38T,39T,40T,41T,42T,43T,46T,47T,60T,62T,63T,44T,57T,58T,67T,68T,69T,70T,71T,72T,73T,74T,75T,76T,77T
2/12/2016,N/A,66,N/A,68,59,74,60,63,N/A,N/A,26,68,N/A,59,53,N/A,59,N/A,60,N/A,79,94,161,75,79,64,81,33,53,65,74,85,73,84,111,123,118,82,166,126,40,29,131,106,N/A,30,34,33,96,68,80,161,134,109,N/A,N/A,81,60,74,N/A,N/A
2/13/2016,N/A,46,N/A,46,36,56,40,43,N/A,N/A,20,57,N/A,42,41,N/A,37,N/A,40,N/A,59,74,167,80,65,41,74,27,45,57,60,63,51,73,103,103,110,79,189,125,38,37,101,77,67,29,35,29,71,N/A,78,135,123,89,N/A,N/A,57,45,63,N/A,N/A
2/14/2016,N/A,40,N/A,43,34,44,36,40,N/A,N/A,20,54,N/A,38,31,N/A,33,N/A,35,N/A,51,65,107,90,49,39,62,25,35,49,49,60,48,65,97,109,147,82,138,96,33,28,109,87,60,28,29,32,73,68,78,149,114,90,N/A,N/A,53,39,63,N/A,N/A
2/15/2016,N/A,36,N/A,39,33,41,36,41,N/A,N/A,19,42,N/A,38,30,N/A,33,N/A,38,N/A,55,64,114,93,54,30,64,25,35,47,45,N/A,43,84,113,126,158,91,156,96,30,30,114,104,55,30,36,N/A,76,65,75,165,109,85,N/A,N/A,52,31,61,N/A,N/A
2/16/2016,20,32,N/A,41,33,48,34,36,N/A,N/A,19,55,N/A,39,30,N/A,30,N/A,34,N/A,63,67,191,100,48,26,52,23,40,45,46,49,43,85,101,121,126,86,122,108,38,38,57,66,57,34,34,31,78,66,71,134,122,85,N/A,N/A,47,36,65,N/A,N/A
2/17/2016,61,64,N/A,67,50,72,52,62,N/A,N/A,20,80,N/A,61,53,N/A,52,N/A,63,N/A,68,83,197,78,65,52,66,28,55,61,69,67,65,91,101,117,111,80,102,91,44,34,48,73,60,47,45,57,80,72,76,121,112,84,N/A,N/A,57,54,61,N/A,N/A
2/18/2016,51,67,N/A,72,57,79,60,70,N/A,N/A,22,86,N/A,66,64,N/A,54,N/A,63,N/A,100,92,204,115,95,53,88,36,65,76,68,72,69,90,102,98,79,76,97,110,43,29,75,84,82,50,47,N/A,80,80,75,121,101,78,N/A,N/A,68,75,59,N/A,N/A
2/19/2016,47,58,N/A,72,54,70,53,58,N/A,N/A,23,75,N/A,62,59,N/A,48,69,50,N/A,93,79,203,106,89,55,88,36,63,N/A,66,72,66,80,103,96,79,68,91,116,49,45,96,122,88,54,50,42,70,77,79,107,103,73,N/A,89,70,77,62,N/A,N/A
2/20/2016,47,54,N/A,72,48,68,52,55,N/A,N/A,21,67,N/A,52,46,N/A,46,67,51,N/A,65,78,118,88,68,47,70,28,47,N/A,60,72,61,68,100,94,88,78,107,84,51,39,81,108,71,51,58,54,77,89,68,112,102,82,N/A,73,75,50,52,N/A,N/A
2/21/2016,41,48,N/A,51,41,55,46,47,N/A,N/A,20,59,N/A,42,34,N/A,38,60,62,N/A,61,72,121,96,51,40,61,26,43,N/A,50,51,54,88,106,97,82,80,91,87,55,51,93,87,57,43,46,50,66,91,71,122,99,N/A,N/A,70,74,62,48,N/A,N/A
