Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,13T,14T,16T,17T,18T,19T,20T,21T,22T,24T,25T,26T,27T,28T,29T,30T,31T,32T,33T,34T,35T,36T,37T,38T,39T,40T,41T,42T,43T,46T,47T,60T,62T,63T,44T,57T,58T,67T,68T,69T,70T,71T,72T,73T,74T,75T,76T,77T,79T,80T
2/19/2017,81,95,100,29,103,87,102,N/A,N/A,113,N/A,123,114,105,121,88,81,N/A,86,N/A,N/A,N/A,175,99,110,105,87,108,57,N/A,100,147,97,79,64,65,59,74,66,105,32,23,59,75,93,N/A,N/A,33,52,61,53,71,66,55,N/A,65,54,79,35,122,98,N/A,N/A
2/20/2017,58,59,70,24,81,70,70,N/A,N/A,70,N/A,74,79,77,73,52,48,N/A,47,N/A,N/A,N/A,224,105,84,67,77,76,40,N/A,69,110,80,86,71,78,63,88,74,119,40,23,101,110,91,N/A,N/A,36,N/A,68,69,63,77,63,N/A,83,60,55,46,116,129,N/A,N/A
2/21/2017,50,42,48,20,64,52,50,N/A,N/A,51,N/A,61,62,57,57,40,38,N/A,35,N/A,N/A,N/A,147,76,72,52,44,52,35,N/A,47,73,49,75,60,69,60,84,61,101,40,32,116,113,56,N/A,N/A,35,N/A,67,66,62,78,57,N/A,84,62,46,48,100,102,N/A,N/A
2/22/2017,29,29,34,16,39,32,38,N/A,N/A,35,N/A,49,47,45,35,33,29,N/A,37,N/A,61,N/A,120,63,51,32,39,50,26,N/A,43,71,42,73,55,76,58,89,78,92,31,22,124,97,50,N/A,N/A,27,46,53,61,57,85,60,N/A,80,41,31,46,97,77,N/A,N/A
2/23/2017,21,19,26,14,31,24,25,N/A,N/A,26,N/A,41,39,34,24,19,18,N/A,21,N/A,47,N/A,112,54,43,19,33,32,17,17,32,48,25,57,48,59,59,77,66,85,22,19,109,85,38,N/A,N/A,24,41,68,60,54,74,55,N/A,72,37,26,41,98,67,N/A,N/A
2/24/2017,N/A,19,22,12,37,21,23,N/A,N/A,24,N/A,47,35,29,19,16,17,N/A,24,N/A,35,N/A,98,46,31,16,20,35,N/A,16,35,41,45,67,51,54,55,66,67,60,28,18,71,71,37,N/A,N/A,27,38,77,63,47,74,47,N/A,80,38,27,38,98,69,N/A,N/A
2/25/2017,N/A,21,41,14,N/A,26,34,N/A,N/A,26,N/A,41,36,35,23,20,20,N/A,39,N/A,46,N/A,93,42,31,16,27,45,33,23,38,48,43,57,56,62,54,79,67,56,29,17,N/A,61,41,N/A,N/A,24,39,105,55,45,68,59,N/A,45,61,30,41,91,51,N/A,N/A
2/26/2017,N/A,28,37,12,N/A,34,35,N/A,N/A,34,N/A,54,40,43,23,22,23,N/A,30,N/A,56,N/A,128,73,38,16,29,42,31,26,31,47,38,77,62,58,45,69,51,68,32,21,34,57,37,N/A,N/A,29,52,177,40,55,59,57,N/A,38,58,28,35,96,63,N/A,N/A
2/27/2017,N/A,51,55,15,N/A,50,55,N/A,N/A,64,N/A,69,68,70,49,48,46,N/A,46,N/A,N/A,N/A,134,81,65,47,36,52,46,43,54,62,51,75,58,70,49,76,59,76,32,19,46,68,49,N/A,N/A,30,51,132,52,56,57,53,N/A,47,68,39,38,108,75,N/A,N/A
2/28/2017,70,79,76,21,N/A,76,82,N/A,N/A,90,N/A,114,98,116,90,79,71,N/A,80,N/A,N/A,N/A,152,90,98,104,47,70,59,73,81,N/A,75,72,55,73,54,89,61,83,39,25,52,70,64,N/A,N/A,34,51,113,55,54,63,N/A,N/A,49,65,46,39,98,87,N/A,N/A
3/1/2017,69,75,72,21,92,68,74,N/A,N/A,84,N/A,94,89,107,87,68,64,N/A,77,N/A,N/A,N/A,204,89,105,92,40,82,55,73,79,94,90,75,51,87,61,100,66,92,36,28,53,78,70,N/A,N/A,37,50,106,58,62,70,79,N/A,58,65,56,38,109,87,N/A,N/A
3/2/2017,77,84,81,21,101,79,85,N/A,N/A,90,N/A,97,104,101,77,81,74,N/A,82,N/A,N/A,N/A,141,82,116,97,55,105,68,90,96,106,89,82,64,103,80,135,79,88,35,25,53,74,70,N/A,N/A,37,64,94,61,75,78,99,N/A,52,70,58,40,137,86,N/A,N/A
3/3/2017,88,83,79,25,94,87,89,N/A,N/A,114,N/A,116,108,124,112,80,78,N/A,80,N/A,N/A,N/A,172,105,108,94,89,109,87,96,100,107,93,106,81,111,69,119,75,102,48,31,76,99,92,N/A,N/A,39,68,87,65,93,87,106,N/A,81,74,71,42,136,100,N/A,N/A
3/4/2017,61,53,65,20,68,59,61,N/A,N/A,62,N/A,76,72,62,62,52,47,N/A,46,N/A,97,N/A,175,96,84,49,66,84,65,73,70,92,67,78,66,137,89,142,94,117,47,38,100,128,79,N/A,N/A,42,68,117,80,70,105,112,N/A,93,89,54,52,108,121,N/A,N/A
3/5/2017,51,45,50,17,59,50,50,N/A,N/A,54,N/A,67,63,48,45,41,39,N/A,38,N/A,65,N/A,102,71,63,53,29,58,50,46,56,57,48,80,71,149,102,180,116,103,46,34,97,99,54,N/A,N/A,40,71,101,90,86,106,106,N/A,94,93,38,60,104,82,N/A,N/A
3/6/2017,54,40,47,17,N/A,45,46,N/A,N/A,51,N/A,68,55,51,44,38,35,N/A,38,N/A,64,N/A,102,69,55,43,18,59,43,38,52,64,48,87,73,146,112,161,109,95,45,41,110,94,54,N/A,N/A,43,87,100,92,108,102,115,N/A,101,91,25,69,91,77,N/A,N/A
3/7/2017,N/A,33,37,13,51,39,38,N/A,N/A,41,N/A,70,50,43,33,33,32,N/A,37,N/A,51,N/A,88,60,51,35,N/A,50,49,38,50,59,52,89,70,149,95,155,117,87,53,40,94,92,49,N/A,N/A,44,82,114,87,79,105,88,N/A,106,86,23,67,91,63,N/A,N/A
3/8/2017,39,36,39,12,51,40,40,N/A,N/A,40,N/A,N/A,57,41,32,40,33,N/A,39,N/A,54,N/A,90,61,46,37,60,48,36,41,53,61,50,94,81,142,76,145,100,68,41,34,59,71,49,N/A,N/A,39,102,114,90,94,90,83,N/A,83,107,32,70,77,65,N/A,N/A
3/9/2017,38,35,40,13,49,38,39,N/A,N/A,41,N/A,N/A,55,46,34,37,38,N/A,N/A,N/A,54,N/A,93,54,44,36,38,40,38,32,47,51,41,73,55,98,65,117,74,67,45,31,46,65,45,N/A,N/A,31,75,74,78,56,67,86,N/A,55,96,25,53,65,51,N/A,N/A
3/10/2017,30,28,30,11,39,33,31,N/A,N/A,33,N/A,N/A,45,45,26,34,28,N/A,N/A,N/A,45,N/A,84,52,42,26,34,39,29,30,39,51,39,68,49,82,53,98,59,59,34,25,57,59,46,N/A,N/A,32,59,58,67,48,56,65,N/A,54,62,26,44,57,52,N/A,N/A
3/11/2017,37,32,33,13,44,32,34,N/A,N/A,35,N/A,N/A,45,51,28,37,29,N/A,N/A,N/A,47,N/A,91,57,48,29,43,46,30,35,44,49,42,63,49,72,52,90,72,66,38,25,67,69,50,N/A,N/A,32,56,64,60,41,64,50,N/A,58,43,25,37,63,57,N/A,N/A
3/12/2017,53,31,33,15,45,37,34,N/A,N/A,37,N/A,N/A,48,68,29,37,32,N/A,N/A,N/A,49,N/A,81,59,46,32,42,40,27,29,39,45,38,57,47,62,59,88,45,75,40,30,65,63,46,N/A,N/A,41,44,N/A,72,32,61,53,N/A,62,47,23,37,58,54,N/A,N/A
3/13/2017,55,41,44,17,61,49,42,N/A,N/A,53,N/A,N/A,59,76,46,44,36,N/A,N/A,N/A,64,N/A,103,63,48,42,45,44,27,31,41,60,41,66,52,75,65,85,51,67,52,32,76,70,46,N/A,N/A,39,46,83,70,43,N/A,48,N/A,74,41,25,32,75,54,N/A,N/A
3/14/2017,37,31,N/A,14,46,42,35,N/A,N/A,36,N/A,N/A,48,54,30,36,28,N/A,N/A,N/A,60,N/A,122,71,50,25,41,38,42,28,41,56,41,81,69,106,109,142,106,72,59,28,118,79,46,N/A,N/A,42,46,126,73,63,N/A,52,N/A,N/A,47,17,31,117,54,N/A,N/A
3/15/2017,35,32,N/A,13,47,35,34,N/A,N/A,37,N/A,N/A,48,46,22,36,27,N/A,N/A,N/A,49,N/A,81,57,42,25,38,43,30,28,44,53,44,83,77,105,110,170,78,82,46,19,99,73,38,N/A,N/A,37,58,156,90,49,102,66,N/A,N/A,62,22,52,121,42,N/A,N/A
3/16/2017,32,31,40,13,46,34,32,N/A,N/A,35,N/A,N/A,47,39,25,39,28,N/A,N/A,N/A,54,N/A,121,57,46,30,38,41,25,26,45,62,43,77,59,171,135,241,112,79,38,38,63,54,40,N/A,N/A,N/A,59,158,106,61,111,100,N/A,N/A,73,33,79,163,40,N/A,N/A
3/17/2017,32,32,31,14,46,35,31,N/A,N/A,37,N/A,66,46,42,24,34,29,N/A,N/A,N/A,40,N/A,139,50,41,29,38,38,27,24,42,49,39,87,69,108,71,162,72,72,41,48,40,58,37,N/A,N/A,N/A,69,156,82,65,63,94,N/A,N/A,92,40,77,93,35,N/A,N/A
3/18/2017,21,18,20,12,31,21,21,N/A,N/A,24,N/A,53,37,29,22,28,21,N/A,N/A,N/A,38,N/A,107,49,34,21,31,31,24,15,29,40,30,74,54,97,71,124,74,61,33,31,34,62,30,N/A,N/A,N/A,75,163,54,N/A,68,78,N/A,N/A,78,26,46,86,29,N/A,N/A
3/19/2017,22,17,20,N/A,24,18,19,N/A,N/A,21,N/A,56,32,32,18,29,19,N/A,N/A,N/A,33,N/A,89,45,31,23,30,30,19,18,29,39,25,74,61,76,54,117,55,50,31,28,N/A,48,29,N/A,N/A,N/A,60,194,66,55,51,59,N/A,N/A,85,22,30,75,31,N/A,N/A
3/20/2017,18,15,17,9,32,20,18,N/A,N/A,20,N/A,47,33,28,14,24,17,N/A,N/A,N/A,33,N/A,102,44,32,19,29,28,16,16,24,39,24,125,105,116,62,122,67,48,28,22,N/A,44,30,N/A,N/A,N/A,101,154,69,78,60,81,N/A,N/A,117,28,43,115,30,N/A,N/A
